id,genre,track_name,artist_name,popularity,valence,energy,danceability,acousticness,tempo,speechiness,mode,instrumentalness
4S6BDExVCTDES6DXGLaGh7,alt-rock,Between The Raindrops,Lifehouse,22,0.236,0.63,0.525,0.00119,106.978,0.0317,1,0.0
51qDSqAzAOwL7OQitYFCw9,alt-rock,High Tide Low Tide,The Vaselines,0,0.624,0.947,0.299,0.00113,158.238,0.0603,1,0.261
4o7ZPI2fmEi3piRe0Hrfpy,alt-rock,Hey Jealousy,Gin Blossoms,64,0.497,0.797,0.471,0.000179,152.903,0.0389,0,6.49e-06
7aPJPm0yFfRrTuBw05qVE3,alt-rock,New Fang,Them Crooked Vultures,0,0.741,0.962,0.276,9.76e-06,189.898,0.0629,0,0.000366
23F3mVlMBVCd1iJyCPspSA,alt-rock,1000 Seasons,The Rentals,0,0.345,0.816,0.464,2.29e-05,125.997,0.0446,0,0.122
72aCha2Meq7txnk451hz7k,alternative,Helicopter,Bloc Party,55,0.396,0.954,0.466,0.00015,170.058,0.132,0,0.00343
1OppUXF0ZsVATRbEyHOTyA,alternative,Cha-Ching (Till We Grow Older),Imagine Dragons,46,0.134,0.867,0.515,0.0041,129.971,0.0391,1,7.5e-06
3ItzRpwvKtkDSNdRSjXu7Z,alternative,Chelsea Dagger,The Fratellis,60,0.552,0.817,0.512,0.0505,154.607,0.142,1,0.0
2nO1DYEg1X5GHi8SSuNJQj,alternative,Wait for Me,Kings of Leon,64,0.308,0.624,0.488,0.0263,116.723,0.0329,1,0.00223
3cdhgO3vgHyOIADMXokd2t,alternative,Nothing,The Script,60,0.522,0.837,0.47,0.00387,157.044,0.0396,1,0.0
0c4IEciLCDdXEhhKxj4ThA,alternative,Madness,Muse,68,0.218,0.417,0.502,0.127,180.301,0.0718,1,0.00419
1YI0uK36eupTmw9F8kHysr,alternative,Sunday Morning,Maroon 5,67,0.805,0.76,0.607,0.0745,88.059,0.0482,1,0.0
37CBHPCzV1rizPrxRUyR72,alternative,No You Girls,Franz Ferdinand,0,0.899,0.909,0.679,0.00915,104.781,0.0297,0,3.27e-05
6Uk9iD1hTgC5TKwB2HGCPD,alternative,The Kids Don't Stand A Chance,Vampire Weekend,0,0.906,0.453,0.659,0.273,140.015,0.0365,1,0.44
15VRO9CQwMpbqUYA7e6Hwg,alternative,The Man Who Sold The World,Nirvana,75,0.42,0.753,0.483,0.425,115.102,0.0832,0,0.000142
7nnWIPM5hwE3DaUBkvOIpy,alternative,Drive,Incubus,74,0.666,0.792,0.645,0.0562,90.565,0.036,0,0.0121
0fPf9CDFzVnHpcfld5XVtO,alternative,You've Got The Love,Florence + The Machine,61,0.398,0.708,0.571,0.00407,109.899,0.0329,1,0.0
2lwwrWVKdf3LR9lbbhnr6R,alternative,Float On,Modest Mouse,71,0.553,0.888,0.649,0.013,100.975,0.0293,1,2.23e-06
2TAQ9YGehOKWDqDak5DuXc,alternative,Plush,Stone Temple Pilots,61,0.439,0.913,0.417,0.00248,144.591,0.0441,0,1.09e-06
0z5Ab6KNkCOwahHmQVyZSA,alternative,Moth Wings,Pond,0,0.481,0.944,0.186,0.000331,160.184,0.144,1,0.000215
1JR7FpfTg5rO2qVhXVXD85,alternative,Young Bride,Midlake,0,0.53,0.524,0.509,0.665,106.101,0.0279,0,0.019
2hKdd3qO7cWr2Jo0Bcs0MA,alternative,Drops of Jupiter (Tell Me),Train,78,0.497,0.638,0.481,0.153,79.064,0.0276,1,0.0
0ancVQ9wEcHVd0RrGICTE4,alternative,Take Me Out,Franz Ferdinand,1,0.49,0.664,0.279,0.000389,104.56,0.0371,1,0.000655
07bEZWP1PqS5jCR0iiz1zt,alternative,In Bloom - Nevermind Version,Nirvana,0,0.592,0.851,0.438,2.67e-05,157.088,0.0505,0,0.000136
33DxzZNm85rorgfnilllJg,alternative,Radioactive,Kings of Leon,0,0.361,0.925,0.408,0.00877,126.405,0.0533,1,0.000454
2S3Pswlcb5VyO9A6OjClkp,alternative,Saratoga,The Soft Pack,0,0.668,0.933,0.337,0.000941,89.94,0.0478,0,0.624
5oowXVNXkPcfZHWy8fh1Nc,alternative,Spoonman,Soundgarden,0,0.865,0.789,0.268,2.64e-05,186.202,0.0367,1,0.119
19K3lUMJmOdeuOBTrbLm19,alternative,Weekend Wars,MGMT,56,0.69,0.859,0.549,0.0964,77.013,0.0361,1,2.36e-05
4ptSL1o2pRgNvrC4wsN1Pl,alternative,No Rain - Remastered 2002,Blind Melon,49,0.547,0.599,0.383,0.644,148.018,0.0304,1,3.61e-05
34MsBWz1mAQYER6zloRGJf,alternative,Believer,American Authors,0,0.873,0.967,0.579,0.00167,120.014,0.0406,1,0.025
1ZSGpxA5iWozqbeK83zt3w,ambient,City,Martin Stig Andersen,0,0.0312,0.0241,0.0881,0.996,167.231,0.0434,1,0.986
6pe8ENsc20Qrib5vgOrFGx,ambient,The Birth And Death Of The Day,Explosions In The Sky,0,0.0392,0.569,0.131,0.0286,177.06,0.0534,1,0.866
4VkJa0cDx4JTroJ693J0B2,ambient,Untitled,Brian Eno,15,0.311,0.495,0.572,0.35,103.43,0.0402,0,0.807
